date,channel,campaign,impressions,clicks,spend,conversions,revenue
2025-06-21,facebook_ads,Retargeting_All,8235,559,1016.66,34,3091.74
2025-06-21,facebook_ads,Creative_Test_1,4039,336,516.37,4,395.98
2025-06-22,facebook_ads,Prospecting_Q3,8020,663,386.76,8,778.45
2025-06-22,facebook_ads,Retargeting_All,3796,402,439.41,18,1835.5
2025-06-22,facebook_ads,Creative_Test_1,3429,311,263.8,3,278.47
2025-06-23,facebook_ads,Prospecting_Q3,3827,373,202.12,4,469.72
2025-06-23,facebook_ads,Retargeting_All,6494,421,736.47,20,1129.1
2025-06-23,facebook_ads,Creative_Test_1,5421,333,682.41,7,576.97
2025-06-24,facebook_ads,Prospecting_Q3,4034,397,976.6,9,779.34
2025-06-24,facebook_ads,Retargeting_All,6118,562,1018.88,22,1475.35
2025-06-24,facebook_ads,Creative_Test_1,3432,139,191.65,3,346.34
2025-06-25,facebook_ads,Prospecting_Q3,4274,313,280.12,9,824.98
2025-06-25,facebook_ads,Retargeting_All,6290,429,953.56,26,2951.37
2025-06-25,facebook_ads,Creative_Test_1,6256,398,565.59,11,1081.07
2025-06-26,facebook_ads,Prospecting_Q3,5994,620,530.01,13,1544.06
2025-06-26,facebook_ads,Retargeting_All,4858,380,741.74,23,1312.86
2025-06-26,facebook_ads,Creative_Test_1,6857,551,1083.05,11,959.51
2025-06-27,facebook_ads,Prospecting_Q3,2151,175,285.26,4,439.46
2025-06-27,facebook_ads,Retargeting_All,6934,648,531.45,28,1672.56
2025-06-27,facebook_ads,Creative_Test_1,4686,295,619.54,4,337.63
2025-06-28,facebook_ads,Prospecting_Q3,6079,662,579.94,12,1232.44
2025-06-28,facebook_ads,Retargeting_All,4798,385,778.46,12,1195.9
2025-06-28,facebook_ads,Creative_Test_1,2825,163,130.04,2,220.26
2025-06-29,facebook_ads,Prospecting_Q3,7590,546,1240.73,12,855.86
2025-06-29,facebook_ads,Retargeting_All,7521,488,247.14,26,1779.43
2025-06-29,facebook_ads,Creative_Test_1,4172,547,976.2,6,518.39
2025-06-30,facebook_ads,Prospecting_Q3,7791,917,1565.3,20,2087.98
2025-06-30,facebook_ads,Retargeting_All,6167,425,636.02,15,670.26
2025-06-30,facebook_ads,Creative_Test_1,6673,447,856.17,11,895.2
2025-07-01,facebook_ads,Prospecting_Q3,3287,250,289.1,4,188.35
2025-07-01,facebook_ads,Retargeting_All,5720,301,593.37,27,3095.52
2025-07-01,facebook_ads,Creative_Test_1,3463,405,717.8,10,494.67
2025-07-02,facebook_ads,Prospecting_Q3,6721,496,628.76,10,870.22
2025-07-02,facebook_ads,Retargeting_All,4266,245,286.41,6,251.61
2025-07-02,facebook_ads,Creative_Test_1,4208,401,616.0,6,691.53
2025-07-03,facebook_ads,Prospecting_Q3,4300,206,462.56,6,329.33
2025-07-03,facebook_ads,Retargeting_All,4711,507,743.23,20,928.96
2025-07-03,facebook_ads,Creative_Test_1,4958,572,785.76,13,1316.13
2025-07-04,facebook_ads,Prospecting_Q3,5532,321,247.4,8,740.45
2025-07-04,facebook_ads,Retargeting_All,4849,368,376.62,15,1687.51
2025-07-04,facebook_ads,Creative_Test_1,3739,230,464.32,4,408.55
2025-07-05,facebook_ads,Prospecting_Q3,4967,323,183.21,3,337.54
2025-07-05,facebook_ads,Retargeting_All,5152,295,390.05,13,1455.83
2025-07-05,facebook_ads,Creative_Test_1,5100,460,1091.88,5,367.52
2025-07-06,facebook_ads,Prospecting_Q3,6326,389,957.95,6,554.0
2025-07-06,facebook_ads,Retargeting_All,5440,287,409.8,22,1951.01
2025-07-06,facebook_ads,Creative_Test_1,3787,279,223.9,4,240.31
2025-07-07,facebook_ads,Prospecting_Q3,5300,545,843.0,7,761.68
2025-07-07,facebook_ads,Retargeting_All,4556,378,724.12,19,884.22
2025-07-07,facebook_ads,Creative_Test_1,3391,73,60.7,4,431.99
2025-07-08,facebook_ads,Prospecting_Q3,4327,520,688.24,11,919.98
2025-07-08,facebook_ads,Retargeting_All,5031,329,695.11,16,706.5
2025-07-08,facebook_ads,Creative_Test_1,4057,373,379.43,5,332.09
2025-07-09,facebook_ads,Prospecting_Q3,5184,583,530.39,16,1765.86
2025-07-09,facebook_ads,Retargeting_All,4459,402,563.8,30,3052.83
2025-07-09,facebook_ads,Creative_Test_1,6324,496,782.39,10,484.38
2025-07-10,facebook_ads,Prospecting_Q3,6557,590,743.9,14,1640.21
2025-07-10,facebook_ads,Retargeting_All,5169,264,283.61,16,1379.32
2025-07-10,facebook_ads,Creative_Test_1,6782,615,794.54,17,1404.92
2025-07-11,facebook_ads,Prospecting_Q3,5727,361,753.23,6,651.45
2025-07-11,facebook_ads,Retargeting_All,4601,412,1016.42,16,898.58
2025-07-11,facebook_ads,Creative_Test_1,3567,315,434.9,7,326.74
2025-07-12,facebook_ads,Prospecting_Q3,5287,448,676.67,15,1101.31
2025-07-12,facebook_ads,Retargeting_All,3406,301,681.42,14,741.7
2025-07-12,facebook_ads,Creative_Test_1,5049,376,584.6,9,1000.99
2025-07-13,facebook_ads,Prospecting_Q3,5291,385,336.81,11,1160.78
2025-07-13,facebook_ads,Retargeting_All,7711,670,756.23,28,2227.04
2025-07-13,facebook_ads,Creative_Test_1,4252,424,359.35,10,1060.78
2025-07-14,facebook_ads,Prospecting_Q3,4641,337,264.19,6,456.17
2025-07-14,facebook_ads,Retargeting_All,6145,646,1125.24,33,2564.2
2025-07-14,facebook_ads,Creative_Test_1,5056,418,314.56,10,660.08
2025-07-15,facebook_ads,Prospecting_Q3,4303,361,306.76,10,581.74
2025-07-15,facebook_ads,Retargeting_All,4236,404,721.45,22,1782.27
2025-07-15,facebook_ads,Creative_Test_1,3499,232,131.4,3,276.76
2025-07-16,facebook_ads,Prospecting_Q3,6085,568,1039.42,9,1013.18
2025-07-16,facebook_ads,Retargeting_All,6008,708,511.16,29,3165.79
2025-07-16,facebook_ads,Creative_Test_1,1740,168,412.2,1,73.8
2025-07-17,facebook_ads,Prospecting_Q3,4667,412,913.27,7,790.03
2025-07-17,facebook_ads,Retargeting_All,6108,563,301.78,38,3729.08
2025-07-17,facebook_ads,Creative_Test_1,6332,439,466.68,12,588.08
2025-07-18,facebook_ads,Prospecting_Q3,5550,648,449.11,10,409.92
2025-07-18,facebook_ads,Retargeting_All,2172,160,271.47,6,383.96
2025-07-18,facebook_ads,Creative_Test_1,6425,733,1674.62,11,509.49
2025-07-19,facebook_ads,Prospecting_Q3,6101,408,232.29,9,1076.72
2025-07-19,facebook_ads,Retargeting_All,5105,527,330.58,31,2725.47
2025-07-19,facebook_ads,Creative_Test_1,5397,501,1081.45,14,1200.39
2025-07-20,facebook_ads,Prospecting_Q3,945,88,99.78,1,101.91
2025-07-20,facebook_ads,Retargeting_All,6328,535,741.92,28,2534.13
2025-07-20,facebook_ads,Creative_Test_1,7459,707,689.23,14,676.73
2025-07-21,facebook_ads,Prospecting_Q3,4615,147,265.25,6,528.31
2025-07-21,facebook_ads,Retargeting_All,5065,576,1018.49,21,1267.38
2025-07-21,facebook_ads,Creative_Test_1,4340,155,91.65,1,62.15
2025-07-22,facebook_ads,Prospecting_Q3,2890,226,389.07,3,169.68
2025-07-22,facebook_ads,Retargeting_All,4692,376,193.76,15,644.07
2025-07-22,facebook_ads,Creative_Test_1,4536,294,618.92,6,486.08
2025-07-23,facebook_ads,Prospecting_Q3,5566,425,549.96,5,446.83
2025-07-23,facebook_ads,Retargeting_All,4521,289,437.78,19,1510.19
2025-07-23,facebook_ads,Creative_Test_1,4401,294,379.01,5,364.41
2025-07-24,facebook_ads,Prospecting_Q3,5400,486,833.88,8,847.23
2025-07-24,facebook_ads,Retargeting_All,5217,353,661.23,13,919.19
2025-07-24,facebook_ads,Creative_Test_1,1772,116,86.08,2,200.19
2025-07-25,facebook_ads,Prospecting_Q3,5767,441,810.18,10,689.54
2025-07-25,facebook_ads,Retargeting_All,4852,389,689.38,25,2225.15
2025-07-25,facebook_ads,Creative_Test_1,5572,516,382.42,15,679.73
2025-07-26,facebook_ads,Prospecting_Q3,3284,269,140.8,5,318.02
2025-07-26,facebook_ads,Retargeting_All,9017,633,371.87,29,1956.15
2025-07-26,facebook_ads,Creative_Test_1,6283,664,1454.96,15,1115.92
2025-07-27,facebook_ads,Prospecting_Q3,3209,315,350.48,8,605.71
2025-07-27,facebook_ads,Retargeting_All,5792,519,1149.65,33,2457.8
2025-07-27,facebook_ads,Creative_Test_1,6190,278,345.37,6,578.68
2025-07-28,facebook_ads,Prospecting_Q3,3519,385,320.98,7,359.85
2025-07-28,facebook_ads,Retargeting_All,4537,433,350.26,13,1191.66
2025-07-28,facebook_ads,Creative_Test_1,2880,300,193.03,5,324.49
2025-07-29,facebook_ads,Prospecting_Q3,6447,724,889.93,11,1309.47
2025-07-29,facebook_ads,Retargeting_All,7837,554,432.73,27,1139.48
2025-07-29,facebook_ads,Creative_Test_1,5819,466,591.08,4,169.91
2025-07-30,facebook_ads,Prospecting_Q3,3352,243,132.85,6,460.09
2025-07-30,facebook_ads,Retargeting_All,5841,432,316.34,30,1953.52
2025-07-30,facebook_ads,Creative_Test_1,5359,525,1130.54,18,1135.3
2025-07-31,facebook_ads,Prospecting_Q3,4839,430,546.54,7,583.19
2025-07-31,facebook_ads,Retargeting_All,5274,297,470.27,17,1813.76
2025-07-31,facebook_ads,Creative_Test_1,2298,158,160.95,2,89.22
2025-08-01,facebook_ads,Prospecting_Q3,3107,194,471.97,4,271.13
2025-08-01,facebook_ads,Retargeting_All,3390,287,398.38,15,1186.68
2025-08-01,facebook_ads,Creative_Test_1,5437,532,871.82,11,617.15
2025-08-02,facebook_ads,Prospecting_Q3,4302,335,486.12,7,407.54
2025-08-02,facebook_ads,Retargeting_All,5398,622,1393.24,28,1399.6
2025-08-02,facebook_ads,Creative_Test_1,4001,389,876.88,12,622.84
2025-08-03,facebook_ads,Prospecting_Q3,5565,441,646.87,12,1045.18
2025-08-03,facebook_ads,Retargeting_All,2827,178,161.35,11,780.16
2025-08-03,facebook_ads,Creative_Test_1,1796,256,423.57,8,947.67
2025-08-04,facebook_ads,Prospecting_Q3,6790,497,1008.44,10,1164.84
2025-08-04,facebook_ads,Retargeting_All,4703,362,799.27,17,1831.88
2025-08-04,facebook_ads,Creative_Test_1,4797,480,730.02,10,1141.11
2025-08-05,facebook_ads,Prospecting_Q3,4971,359,673.28,9,858.62
2025-08-05,facebook_ads,Retargeting_All,4385,285,346.97,17,1059.11
2025-08-05,facebook_ads,Creative_Test_1,6429,580,631.76,5,495.15
2025-08-06,facebook_ads,Prospecting_Q3,5772,544,427.42,13,1319.68
2025-08-06,facebook_ads,Retargeting_All,6783,638,1398.4,33,2607.34
2025-08-06,facebook_ads,Creative_Test_1,4755,309,406.09,3,203.72
2025-08-07,facebook_ads,Prospecting_Q3,5160,398,953.36,4,465.64
2025-08-07,facebook_ads,Retargeting_All,2159,181,118.32,9,932.05
2025-08-07,facebook_ads,Creative_Test_1,4731,386,249.28,7,445.36
2025-08-08,facebook_ads,Prospecting_Q3,3846,235,495.14,8,579.27
2025-08-08,facebook_ads,Retargeting_All,4582,424,616.02,18,1642.29
2025-08-08,facebook_ads,Creative_Test_1,5089,435,528.8,10,498.34
2025-08-09,facebook_ads,Prospecting_Q3,5011,501,700.75,11,989.81
2025-08-09,facebook_ads,Retargeting_All,5314,372,366.0,21,2221.86
2025-08-09,facebook_ads,Creative_Test_1,5354,574,884.16,8,816.22
2025-08-10,facebook_ads,Prospecting_Q3,4961,221,236.15,2,180.73
2025-08-10,facebook_ads,Retargeting_All,4060,326,343.06,18,810.27
2025-08-10,facebook_ads,Creative_Test_1,6237,390,441.69,4,275.27
2025-08-11,facebook_ads,Prospecting_Q3,6093,427,481.1,11,1224.85
2025-08-11,facebook_ads,Retargeting_All,6276,484,607.24,33,1555.72
2025-08-11,facebook_ads,Creative_Test_1,4901,586,747.32,13,1252.01
2025-08-12,facebook_ads,Prospecting_Q3,6448,675,1641.66,16,1856.99
2025-08-12,facebook_ads,Retargeting_All,3416,345,245.2,20,1830.64
2025-08-12,facebook_ads,Creative_Test_1,4790,340,820.62,7,522.33
2025-08-13,facebook_ads,Prospecting_Q3,2837,215,266.04,3,132.57
2025-08-13,facebook_ads,Retargeting_All,4320,471,1009.99,28,1594.87
2025-08-13,facebook_ads,Creative_Test_1,4444,542,1225.09,8,753.8
2025-08-14,facebook_ads,Prospecting_Q3,2669,257,198.71,6,594.53
2025-08-14,facebook_ads,Retargeting_All,6612,347,447.72,20,1118.74
2025-08-14,facebook_ads,Creative_Test_1,4507,414,511.53,4,195.68
2025-08-15,facebook_ads,Prospecting_Q3,2384,196,425.51,0,0.0
2025-08-15,facebook_ads,Retargeting_All,4657,279,414.52,13,1072.18
2025-08-15,facebook_ads,Creative_Test_1,4883,392,559.85,13,1059.79
2025-08-16,facebook_ads,Prospecting_Q3,3228,330,675.83,8,653.63
2025-08-16,facebook_ads,Retargeting_All,4643,389,401.12,11,698.11
2025-08-16,facebook_ads,Creative_Test_1,5152,571,683.03,10,401.08
2025-08-17,facebook_ads,Prospecting_Q3,6483,343,839.8,10,418.88
2025-08-17,facebook_ads,Retargeting_All,5260,446,919.1,22,1580.49
2025-08-17,facebook_ads,Creative_Test_1,4406,336,321.37,5,393.63
2025-08-18,facebook_ads,Prospecting_Q3,4736,536,330.01,17,1962.11
2025-08-18,facebook_ads,Retargeting_All,5805,470,306.07,22,1276.67
2025-08-18,facebook_ads,Creative_Test_1,4437,326,568.81,8,690.11
2025-08-19,facebook_ads,Prospecting_Q3,5488,398,705.22,7,657.51
2025-08-19,facebook_ads,Retargeting_All,3783,207,483.34,9,698.39
2025-08-19,facebook_ads,Creative_Test_1,5495,507,316.57,7,284.39
2025-08-20,facebook_ads,Prospecting_Q3,3747,456,350.46,15,1235.59
2025-08-20,facebook_ads,Retargeting_All,5005,237,440.64,7,433.83
2025-08-20,facebook_ads,Creative_Test_1,4729,508,809.32,9,391.61
2025-08-21,facebook_ads,Prospecting_Q3,4698,260,238.78,2,214.98
2025-08-21,facebook_ads,Retargeting_All,4356,399,966.08,16,1857.83
2025-08-21,facebook_ads,Creative_Test_1,5071,439,447.38,8,699.88
2025-08-22,facebook_ads,Prospecting_Q3,5284,352,866.75,5,517.04
2025-08-22,facebook_ads,Retargeting_All,5040,460,1129.12,26,1376.28
2025-08-22,facebook_ads,Creative_Test_1,7706,587,583.88,13,1213.26
2025-08-23,facebook_ads,Prospecting_Q3,5348,299,610.93,6,245.81
2025-08-23,facebook_ads,Retargeting_All,3124,287,328.14,18,1769.56
2025-08-23,facebook_ads,Creative_Test_1,4769,298,166.39,6,557.97
2025-08-24,facebook_ads,Prospecting_Q3,4462,299,387.41,10,1194.6
2025-08-24,facebook_ads,Retargeting_All,2983,142,285.21,11,1276.82
2025-08-24,facebook_ads,Creative_Test_1,2200,220,456.52,3,255.38
2025-08-25,facebook_ads,Prospecting_Q3,7068,389,381.53,5,567.3
2025-08-25,facebook_ads,Retargeting_All,5021,305,287.22,9,385.93
2025-08-25,facebook_ads,Creative_Test_1,5320,405,431.31,13,1124.89
2025-08-26,facebook_ads,Prospecting_Q3,7964,387,593.42,10,626.0
2025-08-26,facebook_ads,Retargeting_All,6168,457,1093.56,29,2133.12
2025-08-26,facebook_ads,Creative_Test_1,4808,529,790.9,8,698.32
2025-08-27,facebook_ads,Prospecting_Q3,4173,248,548.09,3,137.08
2025-08-27,facebook_ads,Retargeting_All,1093,91,193.08,7,466.03
2025-08-27,facebook_ads,Creative_Test_1,6555,621,1123.58,9,990.64
2025-08-28,facebook_ads,Prospecting_Q3,2332,201,271.44,1,50.23
2025-08-28,facebook_ads,Retargeting_All,6035,174,106.01,15,871.35
2025-08-28,facebook_ads,Creative_Test_1,3369,196,188.32,0,0.0
2025-08-29,facebook_ads,Prospecting_Q3,6826,658,1445.53,12,770.81
2025-08-29,facebook_ads,Retargeting_All,6791,410,874.76,16,1114.8
2025-08-29,facebook_ads,Creative_Test_1,7189,327,595.8,3,250.68
2025-08-30,facebook_ads,Prospecting_Q3,3754,339,698.77,7,813.24
2025-08-30,facebook_ads,Retargeting_All,2617,250,482.21,15,723.02
2025-08-30,facebook_ads,Creative_Test_1,7993,1136,1407.01,30,3186.02
2025-08-31,facebook_ads,Prospecting_Q3,6622,661,940.89,18,1720.22
2025-08-31,facebook_ads,Retargeting_All,5998,530,555.52,31,1724.2
2025-08-31,facebook_ads,Creative_Test_1,3051,169,415.24,5,480.47
2025-09-01,facebook_ads,Prospecting_Q3,5686,645,1544.25,13,915.74
2025-09-01,facebook_ads,Retargeting_All,5681,393,773.77,18,756.28
2025-09-01,facebook_ads,Creative_Test_1,2723,198,378.13,6,502.29
2025-09-02,facebook_ads,Prospecting_Q3,7728,624,1388.58,9,936.0
2025-09-02,facebook_ads,Retargeting_All,1769,180,137.42,12,630.98
2025-09-02,facebook_ads,Creative_Test_1,3324,198,444.08,5,518.67
2025-09-03,facebook_ads,Prospecting_Q3,6025,317,520.99,9,1012.38
2025-09-03,facebook_ads,Retargeting_All,5104,343,368.82,15,1023.55
2025-09-03,facebook_ads,Creative_Test_1,2716,277,544.42,5,227.34
2025-09-04,facebook_ads,Prospecting_Q3,3944,389,531.19,9,599.37
2025-09-04,facebook_ads,Retargeting_All,4766,329,785.95,18,1686.93
2025-09-04,facebook_ads,Creative_Test_1,3221,291,388.97,7,336.77
